,Model_Vector,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,Accuracy_Test,Prescision_Test,Recall_Test,F1Score_Test,ROC_Curve
"0,SVM_TF-IDF,""{'C': 1, 'kernel': 'linear'}"",0.8088888888888889,0.812063492063492,0.7955555555555556,0.8038095238095239,0.8025396825396826,0.8045714285714286,0.0056703780474326474,0.8057142857142857,0.8298397040690506,0.7691428571428571,0.7983392645314353,0.8686435555555555"
"1,SVM_NGrams,""{'C': 0.5, 'kernel': 'linear'}"",0.7980952380952381,0.8038095238095239,0.7888888888888889,0.7949206349206349,0.7942857142857143,0.796,0.004900007969923768,,,,,"
"2,SVM_Word2Vec,""{'C': 1, 'kernel': 'linear'}"",0.7895238095238095,0.7933333333333333,0.7780952380952381,0.7822222222222223,0.7873015873015873,0.7860952380952381,0.00537774404517072,,,,,"
"3,SVM_Glove,""{'C': 1, 'kernel': 'linear'}"",0.7876190476190477,0.7923809523809524,0.7765079365079365,0.78,0.7863492063492064,0.7845714285714287,0.005645440660564312,,,,,"
"4,SVM_CountVect,""{'C': 1, 'kernel': 'rbf'}"",0.7831746031746032,0.7825396825396825,0.773968253968254,0.7761904761904762,0.7873015873015873,0.7806349206349206,0.004872783201104726,,,,,"
