,Model_Vector,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,Accuracy_Test,Prescision_Test,Recall_Test,F1Score_Test,ROC_Curve
0,GBM_CountVect,"{'learning_rate': 0.1, 'max_depth': 11, 'n_estimators': 100}",0.8098412698412698,0.8101587301587302,0.8104761904761905,0.8136507936507936,0.8184126984126984,0.8125079365079365,0.0032536198032555937,0.7908571428571428,0.8516812528788577,0.7043809523809523,0.7710592160133445,0.8514070929705215
1,GBM_Glove,"{'learning_rate': 0.1, 'max_depth': 11, 'n_estimators': 150}",0.8152380952380952,0.8111111111111111,0.806031746031746,0.813015873015873,0.8146031746031746,0.812,0.0033076866736840883,,,,,
2,GBM_Word2Vec,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 150}",0.8180952380952381,0.8095238095238095,0.8088888888888889,0.8095238095238095,0.812063492063492,0.8116190476190477,0.0034167934087806244,,,,,
3,GBM_TF-IDF,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 150}",0.8104761904761905,0.8136507936507936,0.8082539682539682,0.806984126984127,0.8152380952380952,0.8109206349206349,0.0031272661221649974,,,,,
4,GBM_NGrams,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 150}",0.8076190476190476,0.8101587301587302,0.7965079365079365,0.7971428571428572,0.807936507936508,0.8038730158730159,0.005823991007222162,,,,,
