,Model_Vector,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,Accuracy_Test,Prescision_Test,Recall_Test,F1Score_Test,ROC_Curve
0,XGB_Word2Vec_300,"{'learning_rate': 0.1, 'max_depth': 15, 'min_child_weight': 15, 'n_estimators': 150}",0.8228571428571428,0.8088888888888889,0.8095238095238095,0.812063492063492,0.8142857142857143,0.8135238095238095,0.0050459216473156855,,,,,
1,XGB_CountVect,"{'learning_rate': 0.1, 'max_depth': 15, 'min_child_weight': 10, 'n_estimators': 100}",0.8152380952380952,0.8149206349206349,0.8088888888888889,0.8142857142857143,0.8114285714285714,0.8129523809523809,0.002437632231168571,0.8127619047619048,0.8469991546914624,0.7634285714285715,0.8030454818673611,0.8762226938775511
2,XGB_TF-IDF,"{'learning_rate': 0.1, 'max_depth': 15, 'min_child_weight': 10, 'n_estimators': 100}",0.8114285714285714,0.8146031746031746,0.8092063492063492,0.8142857142857143,0.813968253968254,0.8126984126984127,0.002076879648736033,,,,,
3,XGB_Glove_100,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 20, 'n_estimators': 150}",0.8228571428571428,0.8117460317460318,0.806031746031746,0.8085714285714286,0.8114285714285714,0.8121269841269841,0.005754356856062069,,,,,
4,XGB_NGrams,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 15, 'n_estimators': 50}",0.7987301587301587,0.8044444444444444,0.7933333333333333,0.7952380952380952,0.8092063492063492,0.8001904761904761,0.005883217223421128,,,,,
