,Model_Vector,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,Accuracy_Test,Prescision_Test,Recall_Test,F1Score_Test,ROC_Curve
0,Logi_CountVect,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8047619047619048,0.806031746031746,0.806984126984127,0.806031746031746,0.8073015873015873,0.8062222222222223,0.0008888888888888899,0.8123809523809524,0.8399668325041459,0.7718095238095238,0.8044470915227317,0.8692337777777778
1,Logi_TF-IDF,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7961904761904762,0.7974603174603174,0.7834920634920635,0.7923809523809524,0.7926984126984127,0.7924444444444445,0.004886827023465116,,,,,
2,Logi_Glove,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7946031746031746,0.799047619047619,0.7838095238095238,0.792063492063492,0.7917460317460318,0.7922539682539683,0.004965387884702749,,,,,
3,Logi_Word2Vec,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7955555555555556,0.7961904761904762,0.7853968253968254,0.792063492063492,0.7917460317460318,0.7921904761904762,0.003839039100401517,,,,,
4,Logi_NGrams,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7911111111111111,0.7952380952380952,0.7822222222222223,0.7907936507936508,0.7838095238095238,0.7886349206349207,0.004874437515598506,,,,,
