,Model_Vector,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,Accuracy_Test,Prescision_Test,Recall_Test,F1Score_Test,ROC_Curve
0,RF_Glove2,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 200}",0.8161904761904762,0.8082539682539682,0.8015873015873016,0.8098412698412698,0.800952380952381,0.8073650793650794,0.005644726544988665,0.803047619047619,0.85121412803532,0.7344761904761905,0.7885480572597137,0.8609078276643991
1,RF_Word2Vec,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 200}",0.8107936507936508,0.8063492063492064,0.8006349206349206,0.8057142857142857,0.8038095238095239,0.8054603174603174,0.003325917677132418,,,,,
2,RF_Glove,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 200}",0.8092063492063492,0.8006349206349206,0.7977777777777778,0.8041269841269841,0.8038095238095239,0.8031111111111111,0.003827470951898785,,,,,
3,RF_CountVect,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 200}",0.7987301587301587,0.7987301587301587,0.7974603174603174,0.7968253968253968,0.8031746031746032,0.7989841269841269,0.0022213150075601424,,,,,
4,RF_NGrams,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.7968253968253968,0.786984126984127,0.7784126984126984,0.7911111111111111,0.7866666666666666,0.788,0.006038091899920603,,,,,
5,RF_TF-IDF,"{'max_depth': 25, 'max_features': 'auto', 'n_estimators': 150}",0.7714285714285715,0.7971428571428572,0.7904761904761904,0.7819047619047619,0.7968253968253968,0.7875555555555555,0.009781487649119699,,,,,
